Ingredient,Amount,Unit,Description
"Bell pepper",360,g,"2 large"
"Onion",200,g,"1 large red"
"Italian dressing",30,g,"2 tbsp"
"Hot sauce",30,g,"2 tbsp"
"Lime juice",30,g,"2 tbsp"
"Extra virgin olive oil",7.5,g,"1/2 tbsp"
"Boneless skinless chicken breast",907,g,"2 lb"
"Italian dressing",80,g,"1/3 cup"
"Hot sauce",80,g,"1/3 cup"
"Lime juice",80,g,"1/3 cup"
"Extra virgin olive oil",7.5,g,"1/2 tbsp"
"Thyme, dried",3,g,"1 tbsp"
"Allspice, ground",1,g,"1/2 tsp"
"Nutmeg, ground",1,g,"1/2 tsp"
"Cinnamon",0.75,g,"1/4 tsp"
Servings,6
