Ingredient,Amount,Unit,Description
"Boneless skinless chicken thigh filets by PERDUE",907,g,"2 pound"
"Spices, chili powder",8,g,"3 tsp"
"Spices, paprika",7,g,"3 tsp"
"Spices, garlic powder",9,g,"3 tsp"
"Spices, onion powder",7,g,"3 tsp"
"Spices, black, pepper",2,g,"1 tsp, ground"
"Spices, red or cayenne, pepper",0,g,"0.25 tsp"
"Sugar free bbq sauce by G HUGHES",480,g,"32 tbsp"
"Soy sauce made from soy and wheat (shoyu), low sodium",28,g,"2 tbsp"
"Cabbage, raw, green",900,g,"1 head"
"Apple cider vinegar by BRAGG",80,g,"5.33 tbsp (15.0 ml) aprx"
"Extra virgin olive oil by QO",28,g,"2 tbsp (15.0 ml) aprx"
"Lime juice, raw",30,g,"0.125 cup"
"Vinegar, balsamic",16,g,"1 tbsp"
"Dijon mustard by KOOPS'",15,g,"3 tsp"
"Spices, celery seed",1,g,"0.5 tsp"
Servings,6
