Ingredient,Amount,Unit,Description
"Onion",330,g,"3 medium"
"Bell pepper",360,g,"3 medium"
"Extra virgin olive oil",7.5,g,"1/2 tbsp"
"Salt",0,g,"Pinch"
"Hot sauce",150,g,"1/2cup + 2tbsp"
"Water",80,g,"1/3 cup"
"Honey",14,g,"2 tsp"
"Cornstarch",4,g,"1/2 tbsp"
"Nonfat cottage cheese",75,g,"5 tbsp"
"Boneless skinless chicken breast",904,g,"2 lb"
"Garlic powder",6,g,"2 tsp"
"Black pepper, ground",3,g,"1 tsp"
"Cumin, ground",3,g,"1 tsp"
"Paprika",3,g,"1 tsp"
"Chili powder",3,g,"1 tsp"
"Salt",3,g,"1/2 tsp"
"Extra virgin olive oil",7.5,g,"1/2 tbsp"
Servings,6
