Ingredient,Amount,Unit,Description
"Bananas, raw, overripe",330,g,"3 Banana"
"Syrups, maple",40,g,"2 tbsp"
"Applesauce, unsweetened",61,g,"0.25 cup"
"Yogurt, plain, nonfat milk, Greek",123,g,"0.5 cup"
"Eggs, egg whole, Large, Grade A",50,g,"1 egg"
"Organic oat flour by The Hain Celestial Group, Inc.",120,g,"1.32 cup"
"Cornstarch by Tops Markets, LLC",20,g,"2.5 tbsp"
"Cocoa, unsweetened, dry powder",49,g,"9 tbsp"
"Baking soda by The Kroger Co.",5,g,"1 tsp"
"Salt, table",3,g,"0.5 tsp"
"Dark chocolate baking chips, dark chocolate by LILYS",60,g,"102 chips"
Servings,28
