Ingredient,Amount,Unit,Description
"Boneless skinless chicken thigh filets by PERDUE",907,g,"2 pound"
"Spices, chili powder",8,g,"1 tbsp"
"Spices, paprika",7,g,"1 tbsp"
"Spices, garlic powder",4,g,"1/2 tbsp"
"Spices, onion powder",4,g,"1/2 tbsp"
"Spices, black, pepper",2,g,"1 tsp, ground"
"Spices, red or cayenne, pepper",0,g,"1/4 tsp"
"Unsweetened BBQ Sauce",480,g,"1.5 cups"
"Soy sauce made from soy and wheat (shoyu), low sodium",28,g,"2 tbsp"
"Cabbage, raw, green",900,g,"1 head"
"Apple cider vinegar by BRAGG",80,g,"1/3 cup"
"Extra virgin olive oil by QO",28,g,"2 tbsp"
"Lime juice, raw",30,g,"2 tbsp"
"Low sodium soy sauce",30,g,"2 tbsp"
"Vinegar, balsamic",16,g,"1 tbsp"
"Dijon mustard by KOOPS'",15,g,"3 tsp"
"Spices, onion powder",8,g,"1 tbsp"
"Spices, garlic powder",8,g,"1 tbsp"
"Spices, black, pepper",2,g,"1 tsp, ground"
"Spices, celery seed",1,g,"1/2 tsp, optional"
Servings,6
